dataset,attack,layer,acc_clean,acc_adv,acc_drop,evasion,f1_before,f1_after,tpr_before,tpr_after,fpr_before,fpr_after,auc_before,auc_after,ap_before,ap_after,f1_drop,auc_drop,precision_drop,recall_drop,drop_severity,l2_mean,l2_max,linf_mean,linf_max,pct_unchanged,n_truly_fooled,n_pred_changed,pct_pred_changed,pct_truly_fooled
cicids2017,FGSM ε=0.20,siem,0.9558,0.815,0.1408,0.285,0.9427,0.7943,0.8987,0.6137,0.0053,0.0266,1.0,0.9932,1.0,0.8036,0.1484,0.0068,0.1262,0.1408,CRITICAL,1.7611966133117676,1.7882928848266602,0.1999371349811554,0.1999378800392151,0.0,4439,5089,0.1791,0.1563
cicids2017,FGSM ε=0.20,soar,0.9844,0.8876,0.0968,0.2366,0.9842,0.8635,0.9554,0.7188,0.0034,0.0281,1.0,0.9903,1.0,0.8926,0.1207,0.0097,0.0802,0.0968,CRITICAL,1.7601592540740967,1.787239670753479,0.19981949031352997,0.1998201608657837,0.0,2949,3146,0.1107,0.1038
cicids2017,FGSM ε=0.30,ingestion,0.9557,0.7838,0.1719,0.3564,0.9424,0.7614,0.8983,0.5419,0.0053,0.0311,1.0,0.9881,1.0,0.6692,0.181,0.0119,0.178,0.1719,CRITICAL,2.641108512878418,2.681741952896118,0.29982805252075195,0.29983097314834595,0.0,5272,5878,0.2069,0.1856
cicids2017,FGSM ε=0.30,triage,0.9999,0.8286,0.1713,0.3254,0.9999,0.8093,0.9998,0.6744,0.0,0.0544,1.0,0.9699,1.0,0.7484,0.1906,0.0301,0.1847,0.1713,CRITICAL,2.639202117919922,2.6798059940338135,0.29961150884628296,0.29961445927619934,0.0,4866,4866,0.1713,0.1713
cicids2017,FGSM ε=0.30,detection,0.9997,0.722,0.2777,0.6788,0.9997,0.7234,0.9993,0.3205,0.0,0.0292,1.0,0.9737,1.0,0.3836,0.2763,0.0263,0.2678,0.2777,CRITICAL,2.642625570297241,2.683281898498535,0.3000001311302185,0.3000030517578125,0.0,7889,7895,0.2779,0.2777
cicids2017,FGSM ε=0.30,siem,0.9558,0.7751,0.1807,0.3728,0.9427,0.7521,0.8987,0.5259,0.0053,0.0319,1.0,0.9872,1.0,0.6613,0.1906,0.0128,0.1879,0.1807,CRITICAL,2.641794443130493,2.6824378967285156,0.29990577697753906,0.29990869760513306,0.0,5506,6106,0.2149,0.1938
cicids2017,FGSM ε=0.30,soar,0.9844,0.8456,0.1388,0.3359,0.9842,0.8212,0.9554,0.6195,0.0034,0.0389,1.0,0.9706,1.0,0.7063,0.163,0.0294,0.1309,0.1388,CRITICAL,2.6402394771575928,2.680859088897705,0.29972922801971436,0.29973217844963074,0.0,4148,4352,0.1532,0.146
cicids2017,PGD  ε=0.01,ingestion,0.9557,0.9916,-0.0359,0.0,0.9424,0.9914,0.8983,0.9807,0.0053,0.001,1.0,1.0,1.0,0.9999,-0.049,0.0,-0.0192,-0.0359,LOW,0.0883655995130539,0.08939167857170105,0.009994298219680786,0.009996399283409119,0.0,11,1041,0.0366,0.0004
cicids2017,PGD  ε=0.01,triage,0.9999,0.9997,0.0002,0.0005,0.9999,0.9997,0.9998,0.9993,0.0,0.0001,1.0,1.0,1.0,1.0,0.0002,0.0,0.0002,0.0002,LOW,0.08830172568559647,0.08932729810476303,0.009987111203372478,0.009989187121391296,0.0,8,9,0.0003,0.0003
cicids2017,PGD  ε=0.01,detection,0.9997,0.9991,0.0006,0.0016,0.9997,0.9991,0.9993,0.9977,0.0,0.0001,1.0,1.0,1.0,0.9999,0.0006,0.0,0.0006,0.0006,LOW,0.08841625601053238,0.08944293856620789,0.010000030510127544,0.01000213623046875,0.0,16,16,0.0006,0.0006
